Cümle,Tür,,Cümle ,Tür
Bugün hava çok güzel ve ferah.  ,Öznel,,Üçgenin iç açılarının toplamı 180 derecedir.  ,Nesnel
O filmi izlemek büyük bir zaman kaybıydı.  ,Öznel,,Güneş sistemindeki gezegenlerin sayısı sekizdir.  ,Nesnel
Çikolata yemek en sevdiğim şeydir.  ,Öznel,,"Ders notları, öğrencilere e-posta yoluyla gönderildi.  ",Nesnel
Bu kitap hayatımı değiştirdi diyebilirim.  ,Öznel,,"Bu film, eleştirmenler tarafından övgüyle karşılandı.  ",Nesnel
"Masadaki çiçekler çok güzel kokuyor, kim aldı bunları?  ",Öznel,,"Karbon, periyodik tablonun 6. grubunda yer alır.  ",Nesnel
Sen çok akıllı ve çalışkan bir öğrencisin.  ,Öznel,,"İstanbul, Türkiye’nin en kalabalık şehridir.  ",Nesnel
O şarkıyı dinlemek bana huzur veriyor.  ,Öznel,,"Tren, saat tam olarak 10:15’te kalkacak.  ",Nesnel
Sınavdaki son soru çok zor ve karmaşıktı.  ,Öznel,,"DNA, canlıların genetik bilgisini taşıyan moleküldür.  ",Nesnel
Dünyadaki en güzel şehir İstanbul’dur.  ,Öznel,,"Pi sayısı, bir dairenin çevresinin çapına oranıdır.  ",Nesnel
Bence sen çok iyi bir arkadaşsın.  ,Öznel,,"Atatürk, 10 Kasım 1938’de hayatını kaybetmiştir.  ",Nesnel
Spor yapmak insanı mutlu eder.  ,Öznel,,"Anadolu uygarlıklarından biri olan Hititler, ilk yazılı antlaşmayı Mısırlılarla yapmıştır.  ",Nesnel
Bana göre en iyi yazar Yaşar Kemal’dir.  ,Öznel,,"Klorofil, bitkilerin yeşil renkli pigmentidir.  ",Nesnel
"Maç çok heyecanlıydı, son dakikaya kadar nefesimi tuttum.  ",Öznel,,"Demokrasi, halkın egemenliğine dayanan bir yönetim biçimidir.  ",Nesnel
"Bu pastayı çok beğendim, tarifini alabilir miyim?  ",Öznel,,"Hücre, canlıların en küçük yapı birimidir.  ",Nesnel
"Balkonunun manzarası çok etkileyici, burada saatlerce oturabilirim. ",Öznel,,Türkiye’nin nüfusu 2020 yılında 83.6 milyon olarak açıklandı.  ,Nesnel
 Bu film şimdiye kadar izlediğim en sıkıcı yapımdı. ,Öznel,,Güneş sistemindeki en büyük gezegen Jüpiter’dir.  ,Nesnel
